links,bodies
http://gwiazdy.wp.pl/rexona-zaprasza-na-spotkanie-z-polskimi-modelkami-6109511736632961a,"Rexona zaprasza na spotkanie z polskimi modelkami Są piękne, młode i mają w sobie to ""coś"", co pozwala im zaistnieć w magicznej branży modelingu. Jak wygląda życie dziewczyn pracujących dla najlepszych agencji modelek w Polsce i na świecie, pokazuje serial dokumentalny ""Być jak modelka"" prowadzony przez Aleksandrę Szwed. Jego sponsorem jest marka Rexona.  To serial dla wszystkich, którzy interesują się modą i chcą dowiedzieć się więcej o kulisach pokazów znanych projektantów, pracy przy sesjach zdjęciowych i wielkich kampaniach reklamowych. Ale to przede wszystkim opowieść o polskich modelkach. Bohaterkami serialu są dziewczyny, które dopiero rozpoczynają swoją karierę, jak i te na topie: Emilia Nawarecka, Julia Banaś i Maja Salomon. Kamera towarzyszy im w pracy, której tak zazdroszczą im tysiące kobiet, ale także w życiu codziennym.  W tak pokazane życie modelek świetnie wpisuje się marka Rexona, która zawsze stoi po stronie kobiet i towarzyszy im w każdej sytuacji. W świecie modelingu obowiązuje minimalistyczny styl, modelki na castingi zawsze przychodzą w stylizacjach białych lub czarnych, aby się nie wyróżniać, Rexona chroni białe ubrania przez żółtymi plamami a czarne przed białymi śladami.  Serial emitowany jest w niedziele o godz. 18.00 w telewizji WP. Na powtórki zapraszamy w soboty o godz. 18.00.  Telewizję WP można oglądać w sieciach telewizji naziemnej i kablowych! UPC: kanał 158 lub 116. VECTRA: kanał 194. TOYA: kanał 17. INEA: kanał 28. NETIA: kanał 29."
http://gwiazdy.wp.pl/anna-lewandowska-bedzie-sama-wychowywac-dziecko-6109465126656129a,"Anna Lewandowska będzie sama wychowywać dziecko? Ania i Robert niebawem zostaną rodzicami. Jednak w tym wyjątkowym okresie trenerka będzie mogła liczyć tylko na siebie i pomoc znajomych. Piłkarz właśnie wtedy rozpocznie najgorętszy okres w Bundeslidze i Lidze Mistrzów, w której walczy ze swoim klubem Bayernem Monachium. - Kwiecień, maj i początek czerwca to dla Roberta najważniejszy czas w pracy. Nie może zrezygnować z meczów Ligi Mistrzów i zaszyć się z Anią  w domu. To więcej niż pewne – zdradził ""Faktowi"" znajomy gwiazdorskiej pary. Lewego czeka w najbliższym czasie nawet kilkanaście meczów. Kiedy jego córeczka przyjdzie na świat w najbliższych tygodniach, Lewandowska będzie musiała stanąć na wysokości zadania. Jednak sportsmenka codziennie udowadnia, że nie ma dla niej rzeczy niemożliwych. – Ania jest zaradna i zdyscyplinowana, więc macierzyństwo jej nie przerośnie – dodał informator gazety."
http://gwiazdy.wp.pl/malgorzata-rozenek-majdan-wydaje-fortune-na-edukacje-synow-inwestycja-juz-sie-zwraca-6109458743842433a,"Małgorzata Rozenek-Majdan wydaje fortunę na edukację synów. Inwestycja już się zwraca Telewizyjna gwiazda płaci fortunę za francuskojęzyczną szkołę swoich synów. Inwestycja odnosi skutek, ponieważ 11-letni Staś już wie, w jakim kierunku chce się kształcić w przyszłości. Mentorka w programie ""Projekt Lady"" jest przekonana, że edukacja dzieci to dobrze zainwestowane pieniądze i nie należy na tym oszczędzać. Stara się robić wszystko, by wspierać synów w rozwijaniu ich pasji. - Mój starszy syn jest uzdolniony plastycznie i bardzo interesuje się architekturą - powiedziała w rozmowie z ""Faktem"" Małgorzata Rozenek-Majdan. Gwiazda TVN-u płaci rocznie 60 tys. zł. za edukację dzieci. 11-letni Staś wraz z młodszym bratem, 6-letnim Tadziem, chodzi do francuskiej szkoły w Warszawie. Małgorzata Rozenek-Majdan zauważyła, że nauka w elitarnej placówce przynosi rezultaty. Jej starszy syn nie tylko coraz lepiej rysuje, ale również zaczął sporo czytać o światowej architekturze. I właśnie z powodu jego zainteresowań Majdanowie postanowili zmienić trasę ostatnich rodzinnych wakacji w Azji. - Zatrzymaliśmy się w Dubaju tylko dlatego, że Staś marzył o zobaczeniu na własne oczy najwyższego budynku świata Burdż Chalifę. Przejechaliśmy przez Zjednoczone Emiraty Arabskie tylko dla tych kilku chwil zachwytu Stanisława. I opłacało się, bo wieżowiec zrobił na nim ogromne wrażenie - powiedziałą gazecie Rozenek-Majdan."
http://gwiazdy.wp.pl/kayah-spotkala-sie-z-mezem-kasi-figury-co-ich-laczy-6105184348500609a,"Kayah spotkała się z mężem Kasi Figury. Co ich łączy? Kayah jest gwiazdą, która ma problem ze znalezieniem ""tego jedynego"". Wśród jej partnerów można wymienić Sebastiana Karpiela-Bułeckę czy Rinke Rooyensa. Za tego ostatniego wyszła nawet za mąż, ale związek zakończył się rozwodem w 2010 roku, choć partnerzy rozstali się wiele lat wcześniej. Od tamtej pory niewiele wiadomo o jej stałych związkach.  Ostatnio Kayah spotkała się z mężem Katarzyny Figury, Kaiem Schoenhalsem. Amerykanin nie chce dać aktorce rozwodu, sprawa ciągnie się od 4 lat. Figura się go boi i unika kontaktu, a jego matka, która solidaryzuje się z synową i wnuczkami, w wywiadach mówi, że syn jest niebezpiecznym psychopatą i manipulatorem.  Wygląda na to, że Kayah te zarzuty nie przeszkadzają. Razem z Kaiem przez kilka godzin toczyli dyskusję przy winie, rozstali się dopiero nad ranem. Sądzicie, że to tylko przyjaźń?"
http://gwiazdy.wp.pl/goran-bregovic-po-18-latach-zwroci-kayah-350-tys-zl-wideo-6109452009650305a,"Goran Bregović po 18 latach zwróci Kayah 350 tys. zł. [WIDEO] Komercyjny sukces, diamentowa płyta, wyprzedane koncerty - utrzymany w bałkańskim klimacie wspólny album Kayah i Gorana Bregovića z 1999 roku był jednym z największych wydarzeń w świecie muzyki ostatnich kilkunastu lat. Mało komu udało się zachwycić krytyków i połączyć gusta tak dużej grupy Polaków. W pewnym momencie drogi artystów się rozeszły. Poszło oczywiście o pieniądze. Co sprawiło, że się pogodzili i postanowili wyruszyć w sentymentalną trasę koncertową po latach? Obejrzyjcie wideo! Jak donosi ""Fakt"",  Bregović  był winny  Kayah  350 tysięcy złotych. Nic dziwnego, że przez lata nie mieli ze sobą kontaktu. Ostatnio jednak udało im się dogadać. - Goran część pieniędzy dał jej w gotówce, a część spłaci dzięki nowym koncertom, bo Kayah będzie miała większą stawkę od niego. Wcześniej podpisała z nim niekorzystne umowy, w wyniku których ich zarobki wpływały na jego konto - zdradził informator gazety.  Czy tym razem ich współpraca zakończy się bez większych niespodzianek?"
http://gwiazdy.wp.pl/ewelina-lisowska-znowu-zakochana-6073997567337601a,"Ewelina Lisowska znowu zakochana! Rozstanie z Bartkiem Śniadeckim z zespołu Afromental nie było zbyt przyjemne dla piosenkarki. Lisowska na każdym kroku podkreślała, że nie zamierza się z nikim wiązać przez najbliższy czas. Jednak jak podaje ""Fakt"", wokalistka znów jest zakochana, a jej wybrankiem jest Damian Ukeje.  Jest on zwycięzcą pierwszej edycji ""The Voice of Poland"". Piosenkarz podobno od dłuższego czasu miał słabość do Eweliny, jednak dopiero po zakończeniu jej ostatniego związku, zaczął flirtować z artystką.  – Damian od dawna się w niej podkochiwał. Ale najpierw Ewelina była zajęta, a później przez zdradę Bartka miała złamane serce. Chodził jednak za nią, aż w końcu wychodził drogę do jej serca – powiedział informator tabloidu. Muzykowi udało się to, czego nie mógł zrobić żaden inny facet - wzbudził zaufanie Lisowskiej, które przerodziło się w gorące uczucie. – Ewelinę ujęła jego stanowczość i determinacja. Uwierzyła, że skoro tak długo na nią czekał to zakochał się na serio. Ewela ma nadzieję, że wreszcie ktoś będzie traktował ją poważnie – dodało źródło ""Faktu"". Jak myślicie, czy po nieudanym związku Lisowska odnajdzie spokój w ramionach Ukeje?"
http://gwiazdy.wp.pl/nowy-chlopak-wprowadzil-sie-do-eweliny-lisowskiej-to-powazny-zwiazek-6080234821420161a,"Nowy chłopak wprowadził się do Eweliny Lisowskiej. To poważny związek? Partnerem piosenkarki jest zwycięzca programu ""The Voice of Poland"". Oboje stronią od omawiania życia prywatnego w mediach. Ewelina Lisowska do tej pory nie miała szczęścia w miłości. Czyżby w końcu je znalazła? Od jakiegoś czasu mówi się o jej związku z Damianem Ukeje, którego fani talent show mogą kojarzyć z produkcji emitowanej w TVP2. W 2011 roku Ukeje zgłosił się do pierwszej edycji, znalazł się w drużynie Nergala i wygrał program. Po ponad roku nagrał debiutancką płytę, druga ukazała się we wrześniu 2016.  Zajmowały go nie tylko sprawy zawodowe. Podobno 30-latek stracił głowę dla Lisowskiej, ale ta nie chciała się angażować. W 2015 roku rozstała się z Bartkiem Śniadeckim z zespołu Afromental. Klawiszowiec ją zdradzał. Pod koniec grudnia znajomy Lisowskiej zdradził ""Faktowi"", że Ukeje w końcu osiągnął swój cel: - On od dawna się w niej podkochiwał. Ale najpierw Ewelina była zajęta, a później, przez zdradę Bartka, miała złamane serce. Chodził jednak za nią, aż w końcu wychodził drogę do jej serca. Ewelinę ujęła jego stanowczość i determinacja. Uwierzyła, że skoro tak długo na nią czekał, to zakochał się na serio. Ma nadzieję, że wreszcie ktoś będzie traktował ją poważnie. Po dwóch tygodniach okazało się, że zakochani zamieszkali razem. Ukeje wprowadził się do apartamentu Lisowskiej we Wrocławiu. - Oboje, jako muzycy, dużo podróżują po Polsce. Stwierdzili, że jeśli razem nie zamieszkają, to w ogóle nie będą mieli szans się widywać, a trudno tak zbudować trwałą relację- osoba z otoczenia piosenkarki wyznała magazynowi ""Gwiazdy"". Obecność zaradnego mężczyzny ma same plusy. - Już naprawił jej kilka rzeczy, bo to prawdziwa złota rączka. Ewelina jest zadowolona, że takie męskie zajęcia nie będą już spędzały jej snu z powiek, bo ona nie lubi majsterkować - czytamy w piśmie. Wspólne mieszkanie może okazać się zbawienne również zawodowo: - Damian pomagał jej też przy ostatnim albumie, ale wtedy spotykali się w studiu w ustalonych terminach. Teraz mogą tworzyć, kiedy tylko złapie ich wena."
http://gwiazdy.wp.pl/pawel-delag-singlem-nie-daj-boze-zeby-mezczyzna-trafil-na-krolowa-lodu-6101682636853889a,"Paweł Deląg singlem! ""Nie daj Boże, żeby mężczyzna trafił na królową lodu"" Już dawno temu przylgnęła do niego etykieta playboya oraz filmowego amanta. Od dłuższego czasu Paweł Deląg jest jednak singlem. Czy po tym, jak przypisywano mu bliższą znajomość z Dominiką Kulczyk oraz Emmą Kiworkową, z którą rzekomo planował nawet ślub, uznał, że potrzebuje chwili oddechu? Obejrzyjcie wideo! O swoim podejściu do miłości i związków gwiazdor opowiedział w wywiadzie dla dwutygodnika „Party”. - Jeśli mężczyzna kocha, a potrafi pięknie i głęboko, to nie daj Boże, żeby trafił na pozbawioną empatii królową lodu. Mam na myśli kobietę, która nie jest w stanie odwzajemnić uczuć. To gotowy materiał na tragedię, niemal szekspirowską - stwierdził w rozmowie z gazetą. Deląg zasugerował także, że większość ludzi żyje w związkach, które są dla nich wymuszonym kompromisem albo takich, które zwyczajnie rozczarowują. Czy 47-letniemu mężczyźnie po przejściach trudno znów komuś w pełni zaufać i uwierzyć w miłość? - Najgorsze, co może nam się przytrafić, to spotkanie niedojrzałego partnera. (…) W dobrym związku nie myśli się tylko o sobie. Nie chce się wyłącznie brać, ale przede wszystkim dawać. Jest troska kobieca i troska męska. Chcę się opiekować kobietą, chcę, żeby czuła się przy mnie bezpiecznie. A kompromis? Być z kimś dla zabawy czy na pół gwizdka jest zwyczajnie nieuczciwe. (…) Jestem teraz singlem i to jeszcze potrwa jakąś chwilę. Potrzebny mi jest czas ochronny. Wierzę jednak w miłość. Wszystko albo nic! - podsumował  Paweł Deląg ."
http://gwiazdy.wp.pl/pawel-delag-znow-zakochany-widuje-sie-go-z-tajemnicza-blondynka-6109422641064065a,"Paweł Deląg znów zakochany. Widuje się go z tajemniczą blondynką Jeden z najprzystojniejszych polskich aktorów, który niedawno deklarował, że po bolesnym rozstaniu pozostaje singlem, znalazł nową miłość.  Paweł Deląg  znów jest zakochany. Ostatnio, jak donosi ""Fakt"", często można spotkać go na ulicach Warszawy u boku tajemniczej blondynki. Na razie unikają jednak oficjalnych wyjść we dwoje. - Po wyjściu z restauracji para wsiadła do zaparkowanego obok auta i wtedy się zaczęło. Aktor i jego towarzyszka natychmiast rzucili się sobie w objęcia i połączyli usta w namiętnym pocałunku. Z tą samą kobietą Paweł Deląg widywany był w Warszawie również w innych miejscach i sytuacjach - czytamy w gazecie. Już dawno temu przylgnęła do niego etykieta playboya oraz filmowego amanta. Od dłuższego czasu Paweł Deląg był jednak singlem. Po tym, jak przypisywano mu bliższą znajomość z Dominiką Kulczyk oraz Emmą Kiworkową, z którą rzekomo planował nawet ślub, uznał, że potrzebuje chwili oddechu.  - Jestem teraz singlem i to jeszcze potrwa jakąś chwilę. Potrzebny mi jest czas ochronny. Wierzę jednak w miłość - stwierdził w niedawnej rozmowie z dwutygodnikiem ""Party"". - Jeśli mężczyzna kocha, a potrafi pięknie i głęboko, to nie daj Boże, żeby trafił na pozbawioną empatii królową lodu. Mam na myśli kobietę, która nie jest w stanie odwzajemnić uczuć. To gotowy materiał na tragedię, niemal szekspirowską. (…) Nie chce się wyłącznie brać, ale przede wszystkim dawać. Jest troska kobieca i troska męska. Chcę się opiekować kobietą, chcę, żeby czuła się przy mnie bezpiecznie - podsumował. Wygląda na to, że szybko znalazł swój ideał. Czy z nową ukochana pojawi się wkrótce na salonach?"
http://gwiazdy.wp.pl/gitarowy-rekord-guinnessa-wspomina-tadeusza-nalepe-6109413717485697a,"Gitarowy Rekord Guinnessa wspomina Tadeusza Nalepę! W tym roku mija dziesięć lat od śmierci ojca polskiego bluesa Tadeusza Nalepy. Z tej okazji organizatorzy Gitarowego Rekordu Guinnessa zapraszają na dzień przed pierwszomajowym Świętem Gitary do klubu Stary Klasztor na Nalepa Day. Kultowy album ""Blues"" zespołu Breakout z 1971 roku w chwili wydania był dużym zaskoczeniem dla fanów grupy - widoczne było odejście w kierunku bluesa właśnie, nie bez znaczenia były świetne teksty, które napisał Bogdan Loebl. Ale to muzyka Nalepy i jego talent sprawiły, że blues zyskał w naszym kraju uznanie i pozycję. Ojciec polskiego bluesa
Nalepa zanim zaczął przygodę z bluesem otarł się o muzykę klasyczną - ukończył szkołę muzyczną w Rzeszowie w klasach skrzypiec, klarnetu i kontrabasu. Potem chwycił za gitarę, zaczął śpiewać, grać na harmonijce i pisać teksty. W 1965 roku założył grupę Blackout, zespół istniał do końca roku 1967. W następnym na polskiej scenie muzycznej pojawiła się jego nowa formacja Breakout, która istniała trzynaście lat i nagrała dziesięć płyt. W 1982 Nalepa zadebiutował jako solista w Hali Gwardii w Warszawie. Współpracował m.in. z Izabelą Trojanowską i zespołem Dżem, z którym nagrał płytę ""Numero Uno"". W 1986 roku w ankiecie pisma ""Jazz Forum"" zdobył tytuły najlepszego muzyka, kompozytora i gitarzysty, ma też na koncie nagrodę im. Marii Jurkowskiej Programu III Polskiego Radia (1993) i Krzyż Kawalerski Orderu Odrodzenia Polski (2003). W ostatnich latach życia Nalepa chorował. Zmarł 4 marca 2007 roku, został pochowany na Powązkach. W pogrzebie uczestniczyła rodzina, wielu fanów i przyjaciele ze sceny. W roku 2017 obchodzimy też inne jubileusze związane z ""ojcem polskiego bluesa"". Pierwszy to 50-lecie wydania płyty ""Blackout"", jedynego albumu zespołu Blackout. Z kolei trzydzieści lat temu, czyli w roku 1987, ukazał się krążek ""Sen szaleńca"", pierwszy solowy album Nalepy. Nalepa po wrocławsku
Z Nalepą od początku występowali najlepsi polscy gitarzyści tacy jak Dariusz Kozakiewicz, Jan Borysewicz, Jerzy Styczyński, Andrzej Nowak i Marek Raduli. Wśród nich znalazł się też Leszek Cichoński, twórca Gitarowego Rekordu Guinnessa. Wrocławianin koncertował i nagrywał z Nalepą pod koniec lat 80., w roku 1989 zagrali tournee w Stanach Zjednoczonych. - Utwór ""Dbaj o Miłość"" Nalepy jest nie tylko najpiękniejszym jego bluesem, ale też kompozycją, która miała ogromny wpływ na moje życie - wyznał Cichoński. W 2007 roku chcąc uczcić pamięć Tadeusza Nalepy Cichoński włączył do listy utworów granych przez gitarzystów podczas bicia Rekordu numer ""Kiedy byłem małym chłopcem"". Na Rynku we Wrocławiu wykonywali go przez lata m.in. Paweł Kukiz i Jan Borysewicz. Ten ostatni muzyk jest też autorem projektu ""W hołdzie Tadeuszowi Nalepie"", w ramach którego w 2008 roku ukazała się płyta o tym samym tytule. Występują na niej m.in. Piotr Nalepa, Marek Raduli, Piotr Cugowski i Leszek Cichoński. Wrocławskie Święto Gitary w tym roku poświęcone jest nie tylko Hendrixowi, ale także Nalepie. 30 kwietnia w Starym Klasztorze odbędzie koncert, podczas którego bluesy Tadeusza Nalepy przypomni Leszek Cichoński i jego goście. Swoją obecność potwierdził już m.in. Piotr Nowak - jedyny muzyk, który grał zarówno w grupie Blackout jak i Breakout. Gościem specjalnym Nalepa Day będzie formacja legendarnego węgierskiego basisty Egona Poki, który grał m.in. z Hobo Blues i muzykami z Locomotive GT.  Jego zespół wraz z Leszkiem Cichoński i licznymi gitarzystami  poprowadzi później bluesowe jam session. 1 maja podjęta zostanie próba bicia Gitarowego Rekordu Guinnessa na rynku, a w kompleksie Hali Stulecia odbędzie się Koncert Gwiazd. Zagrają The Cranberries, Dog Eat Dog, Lacuna Coil i Acid Drinkers. Impreza jest częścią festiwalu 3-Majówka 2017, w którym udział potwierdzili już m.in. Toy Dolls, Renata Przemyk, Katarzyna Nosowska, Brodka, Lady Pank, Illusion, Krzysztof Zalewski, Czesław Śpiewa, Łąki Łan, Kult, Luxtorpeda, Xxanaxx, L.U.C. & Rebel Babel Ensemble, Paweł Domagała i duet 5’Nizza z Ukrainy. 30.04.17 godz.20.00 Sala Gotycka w Starym Klasztorze, ul. Purkyniego 1
NALEPA DAY 
Leszek Cichoński, Piotr Nowak, Egon Poka Band (Węgry) + Goście miejsca siedzące: 25 zł - przesprzedaż w klubie i rezerwacje: bilety@o2.pl, 30 zł – w punktach sprzedaży i przed koncertem
miejsca stojące: 15 zł - przesprzedaż w klubie i rezerwacje: bilety@o2.pl, 20 zł – w punktach sprzedaży i przed koncertem godz.22.00
BLUESOWE JAM SESSION
wstęp wolny Bilety dostępne w sieci salonów Empik, Saturn i MediaMarkt w całej Polsce
oraz w serwisach:  staryklasztor.com.pl/bilety ,  biletin.pl ,  ticketpro.pl  
rezerwacje: bilety@o2.pl ZOBACZ TEŻ #gwiazdy: Rynkowski robi, co może, by uratować małżeństwo!"
