links,bodies
http://tech.wp.pl/nowy-rekord-predkosci-elektrycznego-samolotu-maszyna-z-silnikiem-siemensa-osiagnela-predkosc-343-kmh-6109419998291585a,"Nowy rekord prędkości elektrycznego samolotu. Maszyna z silnikiem Siemensa osiągnęła prędkość 343 km/h Aż dwa rekordy ustanowił mały samolot akrobacyjny. Samolot Extra 330LE napędzany silnikiem Siemensa po raz pierwszy wzbił się w powietrze w zeszłym roku. Dziś przyszedł czas na bicie rekordów.  Dwa rekordy prędkości, jakie ustanowił elektryczny samolot to: 337,5 km/h w kategorii do 1000 kg oraz 342,86 km/h w kategorii powyżej 1000 kg. Poza tymi dwoma dokonaniami samolot daje konstruktorom inne powody do dumy. Na niemieckim lotnisku Dinslaken Schwarze Heide po raz pierwszy elektryczny samolot posłużył jako holownik szybowca. Extra 330LE wyniósł jednostkę LS8-neo na wysokość 600 metrów w czasie 76 sekund. Silnik Siemiensa został specjalnie zaprojektowany do wykorzystania w samolotach. Wg producenta dzięki rekordowej wydajności (260 kilowatów przy wadze 50 kg) silnik będzie mógł być wykorzystywany w maszynach o wadze do 2 ton. Siemens planuje wykorzystać ten motor w projekcie, nad którym pracuje razem z firmą Airbus. Współpraca ma na celu opracowanie opłacalnego hybrydowo-elektrycznego napędu dla samolotów komercyjnych.  - Myślę, że do 2030 roku zobaczymy pierwsze elektryczne samoloty, które będą wstanie przewieźć 100 pasażerów na trasie 1000 km – uważa Frank Anton, szef eAircraft w Siemensie. – Wystarczy sześć naszych silników do zasilenia typowej 19-osobowej jednostki. - Jeśli silniki elektryczne okażą się bezpieczne i wydajne to niewątpliwie staną się przyszłością lotnictwa - mówi w rozmowie z WP Maciej Stroiński z Aeroklubu Polskiego. - Z danych Siemensa wynika, że będą lżejsze od silników spalinowych, a to bezpośrednio przełoży się na oszczędności. Z drugiej strony jestem przekonany, że na początku wiele osób będzie podchodzić do silników elektrycznych z nieufnością. Tak samo jest teraz z samolotami zbudowanymi z lekkich materiałów kompozytowych. Niektórzy piloci po prostu nie są w stanie im zaufać. Ale jeśli samoloty elektryczne okażą się bezpieczne, to jest to przyszłość."
http://tech.wp.pl/ten-jeden-karabin-moze-pelnic-wiele-funkcji-w-polskiej-armii-juz-z-niego-korzystaja-6099964442923649a,"Ten jeden karabin może pełnić wiele funkcji. W polskiej armii już z niego korzystają Wojskowa Akademia Techniczna i Fabryka Broni Łucznik z Radomia mogą mieć powody do zadowolenia. Istnieją spore szanse, że już niedługo, opracowana przez nich modułowa broń MSBS trafi na wyposażenie polskiej armii. Wojskowi też mogą być zadowoleni, bo MSBS równa się swoimi możliwościami sprzętom, jakimi dysponują najlepsze i najlepiej uzbrojone armie na świecie.  MSBS to skrót od słów „Modułowy System Broni Strzeleckiej”. Idea jest dość prosta – jeden karabin może pełnić wiele różnych funkcji, w zależności od użytego przez żołnierza modułu. I taki też jest polski produkt. Dostępny w dwóch odmianach – z kolbą i bez – może pełnić rolę broni maszynowej, karabinka wyborowego, karabinka z granatnikiem, subkarabinka oraz broni podstawowej. Łącznie daje to aż 10 różnych konfiguracji. Oczywiście nie zapomniano o ważnej cesze, jaką jest uniwersalna szyna pozwalająca dołączyć do MSBS liczne akcesoria – celowniki laserowe i optyczne, latarki, noktowizory, celowniki termowizyjne itp. Szyna jest zgodna ze standardami NATO, co umożliwia podłączanie do niej wyposażenia będącego na wyposażeniu innych armii. Co ciekawe, dostępne są także trzy różne długości lufy – inna (dłuższa) potrzebna jest przy karabinku wyborowym, a inna np. przy subkarabinku (najkrótsza).  Pomyślano także o wygodzie korzystania z MSBS. Broń jest przystosowana do korzystania z niej zarówno przez osoby prawo-, jak i leworęczne, ponieważ najważniejsze elementy (w tym bezpiecznik czy przełącznik rodzaju ognia) zdublowano i umieszczono po obu stronach karabinka. Jest on też dość lekki i waży około 3,5 kg.  Po co w ogóle taki modułowy sprzęt? W sytuacji konfliktu zbrojnego daje to wojsku przewagę w postaci znacznie uproszczonej logistyki oraz niemalże ekspresowej naprawy uszkodzonej broni. Karabin maszynowy można naprawić używając części z wersji podstawowej czy też dowolnej innej. Łatwość zmiany charakterystyki karabinka pozwala też w błyskawicznym tempie dopasować rodzaj potrzebnej broni do konkretnej misji i potrzeb pola walki. Nie bez znaczenia są także niższy koszt użytkowania oraz komfort dla żołnierzy.  Karabinek przechodzi liczne testy i zbiera bardzo dobre recenzje. Jest często porównywany do broni będącej na wyposażeniu amerykańskich służb specjalnych – FN SCAR. Nie ma się co dziwić, ponieważ polscy inżynierowie stworzyli wyjątkowo dobrą konstrukcję. Jej podstawowym elementem jest komora zamka, wspólna dla wszystkich wersji. To właśnie do niej dołącza się moduły i w ten sposób otrzymuje pożądany rodzaj MSBS. Komora jest monolityczna, a wykonano ją z duraluminium.  Karabinek przystosowany jest do strzelania amunicją kalibru 5,56 mm zgodnej ze standardem NATO. Podstawowa wersja mieści w magazynku 30 sztuk amunicji, jednak magazynek przeznaczony do wersji maszynowej może pomieścić nawet 100 pocisków. Te natomiast mogą być wystrzeliwane z częstotliwością nawet 750 pocisków na minutę (szybkostrzelność teoretyczna), jednak w praktyce jest to około 100 strzałów na minutę (szybkostrzelność praktyczna).  Niezależne testy pokazały, że polski karabinek bez problemu radzi sobie także z wystrzeleniem 60 pocisków w jednej serii. Możliwość regulowania ilości gazów prochowych pozwala na używanie broni także z tłumikiem dźwięku.  Obecnie na wyposażenie wojska trafiło 150 egzemplarzy przeznaczonych dla batalionu reprezentacyjnego oraz 40 sztuk dla kompanii honorowej. Swoje egzemplarze otrzymała też Służba Więzienna. Według defence24.pl w bieżącym roku trwać będą dalsze testy MSBS, które mogą doprowadzić do szerokiego wprowadzenia polskiej konstrukcji na wyposażenie wojska. Tym bardziej, że karabin ma się znaleźć na wyposażeniu polskiego „żołnierza przyszłości”, czyli stać się częścią programu Tytan.  Inżynierowie nie spoczywają jednak na laurach i już pracują nad wersją przystosowaną do amunicji 7,62 mm, która ma być w 80 proc. zgodna (wykorzystywać te same elementy) co wersja 5,56 mm."
http://tech.wp.pl/karabin-msbs-w-pierwszej-kolejnosci-dla-wojsk-obrony-terytorialnej-6109125908174977a,"Karabin MSBS w pierwszej kolejności dla Wojsk Obrony Terytorialnej? - Polskie karabinki MSBS 5,56 mm w pierwszej kolejności trafią do najlepszych żołnierzy – powiedział szef MON na konferencji dot. uzbrojenia żołnierzy WOT. Minister nie chciał skonkretyzować, których żołnierzy ma na myśli. Antoni Macierewicz spotkał się z przedstawicielami Polskiej Grupy Zbrojeniowej w sprawie dostaw sprzętu dla żołnierzy Wojsk Obrony Terytorialnej. Szef MON zapewniał, że nowo formowane jednostki będą wyposażone w najnowocześniejsze uzbrojenie polskiej produkcji. Dopytywany przez dziennikarzy nie chciał ujawnić, jaki konkretnie sprzęt trafi do jednostek WOT, ale sam z siebie dodał: - Na pewno będzie SMBS, to możecie powiedzieć z pewnością. Pytany przez dziennikarzy, czy w pierwszej kolejności nowa broń trafi do żołnierzy WOT, Antoni Macierewicz dodał tylko, że broń dostaną „najlepsi” żołnierze. Czytaj też: MSBS. Ten jeden karabin może pełnić wiele funkcji. W polskiej armii już z niego korzystają MSBS, czyli Modułowy System Broni Strzeleckiej, to urządzenie tworzone przez Fabrykę Broni „Łucznik” – Radom we współpracy z Wojskową Akademią Techniczną. Karabinek ma mieć możliwość szerokiej modyfikacji w zależności od potrzeb żołnierza. Na jej podstawie mają powstać też inne jednostki broni, takie jak karabin o podwyższonej celności, subkarabinek czy karabin maszynowy. Do tej pory MSBS w wersji ""ekskluzywnej"" trafił do Kompani Reprezentacyjnej. W przyszłości MSBS ma być elementem polskiego żołnierza przyszłości Tytan. Czytaj też: Projekt Tytan - polski żołnierz przyszłości"
http://tech.wp.pl/masz-konto-w-mbanku-gemius-mogl-pobrac-informacje-na-temat-twojego-salda-6109121238182017a,"Masz konto w mBanku? Gemius mógł pobrać informacje na temat twojego salda Bardzo niepokojące niedopatrzenie na stronie internetowej mBanku. Firma śledząca aktywność w sieci mogła zobaczyć, ile pieniędzy mają na koncie klienci banku.  O sprawie napisał portal zaufanatrzeciastrona.pl, zajmujący się tematyką bezpieczeństwa w sieci. Czytelnik zauważył, że ""przeglądarka wysyła ruch do serwera ghmpl.hit.gemius.pl"". O ile zwykle są to informacje na temat otwartej karty czy zakładek, tak w tym przypadku przesyłane było także saldo rachunku.  Serwis zaufanatrzeciastrona.pl prześwietlił też stronę mBanku, dzięki czemu można było potwierdzić, że jeszcze dzisiaj w nocy saldo rachunku w mBanku mogło trafiać na serwery Gemiusa, czyli firmy, która zajmuje się analizowaniem aktywności w internecie.  “Dane z badania Gemiusa służą reklamodawcom, agencjom reklamowym i domom mediowym do szacowania potencjału reklamowego stron www i planowania kampanii online” - czytamy na stronie firmy.  Nie da się jednak ukryć, że informacje na temat posiadanych pieniędzy to bardzo prywatna sprawa. I żadna firma nie powinna mieć do takich danych dostępu.  Dobra wiadomość jest taka, że wysokość salda nie była powiązana z właścicielem konta. Owszem, suma, jaka jest na koncie, poszła w świat i trafiła na serwery, ale nie ujawniono przy tym, kto dokładnie tyle pieniędzy posiada.  Jest też zła wiadomość. O tym pisze portal zaufanatrzeciastrona.pl: ""Przesyłanie salda rachunku do firmy zajmującej się analizą statystyczną zachowań internautów nie jest dobrą wiadomością. Nawet w najprostszym ujęciu, regularna analiza wysokości salda pozwala ustalić chociażby miesięczne przychody posiadacza rachunku. Jeśli firma analizująca dane nie zna imienia i nazwiska tej osoby, to może oznaczyć jej przeglądarkę swoim ciasteczkiem i w ten sposób identyfikować w przyszłości. To naszym zdaniem zdecydowanie zbyt daleko idąca ingerencja w prywatność użytkownika"". Dzięki interwencji portalu zaufanatrzeciastrona.pl mBank wyłączył skrypty analityczne. W komunikacie banku czytamy:  ""Rzeczywiście w trakcie korzystania z serwisu bankowości elektronicznej, podczas wykonywania określonej operacji przeglądarka przekazywała do wykorzystywanego przez bank narzędzia analitycznego Gemius nadmiarowe dane. Informacje te wysyłane były w formie anonimowej – niepozwalającej na powiązanie z rzeczywistym klientem – wyłącznie do firmy Gemius, z którą bank ma podpisaną stosowną umowę. Bezpośrednio po zgłoszeniu skrypty analityczne zostały wyłączone. Obecnie żadne dane nie są przekazywane do Gemiusa. Trwają analizy mające potwierdzić przyczynę tej sytuacji.
Był to błąd, za który bardzo przepraszamy"". Gemius jeszcze nie skomentowal sprawy."
http://tech.wp.pl/nowa-aktualizacja-do-windowsa-10-sprawi-ze-uzytkownicy-latwiej-zasna-6106635567671425a,"Nowa aktualizacja do Windowsa 10 sprawi, że użytkownicy… łatwiej zasną Microsoft skupia się na bezpieczeństwie i wydajności w grach. Co jeszcze wprowadzi aktualizacja Windows 10 Creators Update? Aktualizacja Windows 10 Creators Update będzie dostępna od 11 kwietnia. Microsoft stawia w niej między innymi na poprawę bezpieczeństwa użytkownika.  Jedna z nowości pozwoli lepiej monitorować bezpieczeństwo urządzenia. Windows Defender Security Center umożliwia sterowanie z jednego miejsca  wszystkimi opcjami bezpieczeństwa, takimi jak ochrona antywirusowa, zapora sieciowa, diagnozowanie wydajności i stanu urządzenia, kontrolowanie opcji bezpieczeństwa aplikacji i przeglądarki, a także korzystanie z funkcji bezpieczeństwa rodzinnego.  - Prywatność użytkowników to dla firmy Microsoft zasadnicza kwestia. Dlatego też aktualizacja Windows 10 Creators Update wprowadzi nowe sposoby jej konfiguracji, pozwalające dostosować ustawienia do indywidualnych potrzeb użytkownika i  ułatwi  zarządzanie prywatnością zarówno w Windowsie 10, jak i innych usługach Microsoftu - zapewnia Yusuf Mehdi, wiceprezes grupy Windows and Devices. Z aktualizacji ucieszą się też zapominalscy, którzy odchodząc od komputera, nie pamiętali o jego zablokowaniu. Po 11 kwietnia Windows 10 zrobi to za nich. Po aktualizacji mechanizm Windows Hello wykryje, kiedy użytkownik odchodzi od komputera lub tabletu. I automatycznie zablokuje ekran, zapewniając w ten sposób dodatkową ochronę prywatności.  Microsoft wprowadzi też “funkcję światła nocnego”. Korzystając z niej, ekran będzie emitował mniej światła niebieskiego. Podobno dzięki temu “mózg będzie w stanie łatwiej przygotować się do wejścia w fazę dobrego snu”. Opcja znana posiadaczom smartfonów wreszcie pojawi się na Windowsie 10.  Jeżeli chodzi o drobne, acz pomocne funkcje, warto wspomnieć o trybie minipodglądu. Pozwala on zachować na wierzchu otwarte okno, niezależnie od tego, nad czym aktualnie się pracuje. Dzięki temu możemy mieć otwarte malutkie okno z filmem, rozmową na Skypie czy z odtwarzaczem muzycznym, korzystając jednocześnie z innego programu.  Innym wygodnym dodatkiem może być zaawansowane zarządzanie zakładkami w przeglądarce Microsoft Edge. Funkcja ta pozwala odszukać, organizować i otwierać zapisane zakładki bez opuszczania bieżącej strony Gracze powinni ucieszyć się z opcji Game Mode. Za jej sprawą system przydziela większą ilość zasobów graficznych oraz mocy obliczeniowej procesora uruchomionej grze. Mówiąc w skrócie - gra jest dla systemu priorytetem, a pozostałe funkcje komputera są “wygaszane”.  Każdy z nas pewnie nieraz korzystał z Painta. Teraz Microsoft doda nową wersję tego programu - Paint 3D. Za jego pomocą można stworzyć od podstaw trójwymiarowe obiekty, zmieniać ich kolory, nanosić faktury lub przekształcić obraz dwuwymiarowy w prawdziwe dzieło 3D. Tworzenie prostych grafik w programie Paint było banalnie proste, więc ciekawy jestem, czy podobnie będzie z nieskomplikowanymi trójwymiarowymi pracami."
http://tech.wp.pl/windows-10-w-aktualizacji-microsoft-stawia-na-prywatnosc-uzytkownikow-6109081336780417a,"Windows 10: w aktualizacji Microsoft stawia na prywatność użytkowników Firma Microsoft zapewnia, że prywatność korzystających z systemu Windows 10 jest dla niej istotną kwestią. I dlatego po najnowszej aktualizacji każdy będzie miał możliwość weryfikacji swoich ustawień prywatności.  Aktualizacja Windows 10 Creators Update dostępna będzie od 11 kwietnia. Jedną z najistotniejszych zmian jest sprawienie, by użytkownicy posiadali informacje pozwalające podejmować przemyślane decyzje w zakresie ochrony prywatności.  Pomóc w tym ma opcja wyboru ustawień dla urządzenia. W specjalnym menu użytkownik podejmie decyzję, jakie informacje system ma posiadać. Podzielono je na pięć kategorii: “lokalizacja”, “rozpoznawanie mowy”, “diagnostyka”, “dostosowana zawartość” i “odpowiednie reklamy”.  Jeśli zgodzicie się na pełną akceptację, wówczas Windows 10 będzie znał waszą lokalizację i podzieli się tą wiedzą z innymi aplikacjami, na przykład odpowiedzialnymi za wyświetlanie prognozy pogody. Oprócz tego system będzie mógł wysyłać dane głosowe do Microsoftu (“by pomóc w ulepszaniu usług”), skierować dane diagnostyczne czy wyświetlać reklamy na podstawie waszej aktywności.  Jeżeli nie wyrazicie zgody i wyłączycie wyżej wymienione funkcje lub chociaż przełączycie je na tryb podstawowy, to Windows 10 nie wykorzysta waszej lokalizacji. Nie będzie działał też asystent głosowy, a Microsoft otrzyma mniej danych związanych z napotkanymi problemami systemu. Reklamy nadal będą się pojawiać, ale będą one ogólne, a nie spersonalizowane.  Dostęp do tych opcji uzyskamy, wciskając przycisk Start, przechodząc do Ustawień Windows, a następnie do menu Prywatność.  W przypadku osób, które po raz pierwszy konfigurują nowe urządzenie z Windows 10 lub instalują Windows 10, wybóru dokonają podczas instalacji.  - W kolejnych aktualizacjach w dalszym ciągu będziemy ulepszać nasze produkty i uwzględniać uwagi użytkowników dotyczące zbierania danych oraz ustawień prywatności. Naszym celem jest zapewnienie dostępu do jeszcze szerszego zakresu informacji oraz umożliwienie weryfikacji i usuwania zebranych danych za pośrednictwem pulpitu nawigacyjnego prywatności Microsoft - informuje Microsoft na swoim blogu."
http://tech.wp.pl/nielegalnie-udostepniali-sygnal-platnych-telewizji-zatrzymala-ich-policja-6108800312612481a,"Nielegalnie udostępniali sygnał płatnych telewizji. Zatrzymała ich policja Mężczyźni umożliwiali nielegalne oglądanie płatnych kanałów za darmo. Wystarczył do tego specjalny dekoder i jednorazowa opłata.  Policjanci zajmujący się zwalczaniem cyberprzestępczości z KWP w Lublinie wspólnie z włodawskimi funkcjonariuszami zatrzymali dwóch mężczyzn, którzy w ramach prowadzonej przez siebie firmy internetowej nielegalnie rozsyłali sygnał telewizyjny dwóch płatnych platform cyfrowych. Lubelska policja nie podaje szczegółów, ale możemy podejrzewać, że chodzi o nc+ i Cyfrowy Polsat.  Przestępcy działali na terenie Włodawy i okolic - czytamy na stronie policji.  - W piątek policjanci z KWP i KPP we Włodawie  przeprowadzili przeszukania m.in. w siedzibie firmy zajmującej się oficjalnie dostarczaniem internetu. Zabezpieczono sprzęt elektroniczny pełniący rolę serwerów sharingowych, dekodery do odbioru nielegalnego sygnału, a także  laptopy, routery, druki przelewów  czy potwierdzenia wpłat - informuje policja.  Według serwisu Wirtualne Media mężczyźni pobierali opłaty w wysokości od 50 do 80 zł. Za tę sumę można było oglądać płatne kanały bez konieczności uiszczania operatorowi miesięcznego abonamentu. Do działania niezbędny był specjalny dekoder, pozwalający odbierać nielegalnie sygnał.  Wstępne ustalenia policjantów wskazują na to, że w proceder sharingu może być zamieszanych kilkadziesiąt osób, a czerpanie zysków z nielegalnej działalności organizatorów procederu mogło trwać nawet kilka lat. Jest jeszcze za wcześnie, by oszacować straty poszkodowanych firm.  Zatrzymanym grozi kara do 3 lat pozbawienia wolności."
http://tech.wp.pl/twoje-haslo-to-123456-albo-qwerty-lepiej-szybko-je-zmien-podpowiadamy-jak-6108716282513537a,"Twoje hasło to ""123456"" albo ""qwerty""? Lepiej szybko je zmień. Podpowiadamy jak Najpopularniejsze hasła Polaków to „123456”, „111111”, „qwerty”, „polska”, imię + rok urodzenia, imię żony, męża lub dziecka. Jeśli sam używasz podobnego hasła to możesz łatwo paść ofiarą internetowych przestępców. W tym tekście podpowiadamy, jak stworzyć silne hasło. W powszechnym przekonaniu bezpieczne hasło musi składać się z małych i wielkich liter, liczb i znaków specjalnych (!^%$@#). Najlepiej też, jeśli znaki nie tworzą żadnego konkretnego wyrazu, a są całkowicie przypadkowe. Problem z takimi hasłami (np. D@2wvf$234Ad) jest taki, że niezwykle trudno je zapamiętać, zwłaszcza jeśli każdego dnia używamym ich kilku. Dodatkowo złamanie 6-znakowego hasła metodą brute force zajmie tyle samo czasu w przypadku „qwerty” co w przypadku „Fr5$6!s”. Co nie znaczy, że nie ma między nimi żadnej różnicy -  to drugie jest jednak zdecydowanie bezpieczniejsze.  Dlatego specjaliści bezpieczeństwa sugerują używanie haseł-zdań (ang. pass-phrase) zamiast haseł-słów. Np. hasło typu: „NiesłychanieZielonyParasol”, jest dużo łatwiejsze do zapamiętania i prawie niemożliwe do  złamania metodą typu brute force. Jeśli fraza składa się z przypadkowych wyrazów to jest też mocno zabezpieczona przed atakiem słownikowym, w którym atakujący wykorzystuje popularnie używane hasła lub dane samej ofiary. Żeby jeszcze bardziej zwiększyć poziom bezpieczeństwa hasła-zdania można dorzucić kilka znaków specjalnych i cyfr. Nawet jeśli użyjemy wyjątkowo silnego hasła, nie oznacza to, że jesteśmy całkowicie bezpieczni. Hakerzy mają sposoby, aby wyciągnąć od nas tajne zabezpieczenie. Dlatego korzystając na co dzień z interenetu, należy pamiętać o kilku podstawowych zasadach bezpieczeństwa:"
http://tech.wp.pl/masz-karte-mastercard-mozesz-miec-problem-6108496351938689a,"Masz kartę Mastercard? Możesz mieć problem Jeśli jesteś właścicielem karty Mastercard, lepiej sprawdź stan swojego konta bankowego. Jest możliwość, że w skutek awarii system podwójnie zaksięgował płatność lub wypłatę pieniędzy z bankomatu. System kart Mastercard zaliczył dziś awarię. W jej skutek niektóre płatności mogły być podwójnie księgowane, przez co z kont mogła zniknąć zbyt duża kwota pieniędzy. Jak informuje serwis wGospodarce, przyczyną awarii był błąd techniczny po stronie Mastercard.  Według informacji serwisu, problem może dotyczyć tylko niektórych kart wydanych przez polskie banki. W oświadczeniu przesłanym wGospodarce przez Mastercard czytamy: ""Konta bankowe niektórych posiadaczy kart Mastercard, którzy w ostatnich dniach dokonali transakcji bezgotówkowych i gotówkowych w Polsce mogły zostać obciążone podwójnie. Obecnie wyjaśniamy przyczyny tego technicznego błędu. Jednocześnie intensywnie pracujemy nad identyfikacją wszystkich zdublowanych transakcji i ich korektą, aby konsumenci jak najszybciej otrzymali zwrot błędnie pobranych środków"". Co zrobić, jeśli dotknęła was awaria? Przede wszystkim należy uzbroić się w cierpliwość. W takich sytuacjach banki zwracają źle zaksięgowane pieniądze na konto. Zanim zaczniecie panikować, sprawdźcie dokładnie wszystkie transakcje. W przypadku wątpliwości - skontaktujcie się z przedstawicielami banku."
http://tech.wp.pl/start-rakiety-w-zwolnionym-tempie-zobacz-niesamowite-wideo-6105924456227969a,"Start rakiety w zwolnionym tempie. Zobacz niesamowite wideo Zastanawialiście się kiedyś, jak wygląda start rakiety w slow-motion? Gavin Free i Dan Gruchy z kanału ""The Slow Mo Guys"" postanowili to sprawdzić. Wybrali się na Purdue University w stanie Indiana, gdzie postanowili odpalić mierzącą 1,8 metra rakietę. Wszystko nagrali kamerą z matrycą wieloklatkową. Efekt robi wrażenie. Rakietę przygotowali studenci Purdue University. Wyposażona jest w silnik klasy G i używa paliw stałych, takich samych jak statki kosmiczne. Z tym wyjątkiem, że skonstruwana jest z łatwo dostępnych materiałów. Dzięki połączeniu lekkiej konstrukcji i wydajnego paliwa rakieta jest w stanie rozpędzić sie do prędkości ponad 200 km/h po przebyciu zaledwie 1,2 metra."
