links,bodies
http://teleshow.wp.pl/seksowna-miko-kusi-w-bikini-ma-figure-idealna-6109529803073665a,"Seksowna Miko kusi w bikini. Ma figurę idealną? Izabella Miko wie, jak zwrócić na siebie uwagę. Na swoim profilu instagramowym regularnie zamieszcza zdjęcia, na których prezentuje idealną sylwetkę i umiejętności taneczne.  Aktorka na co dzień mieszka w Los Angeles. W Polsce znana jest przede wszystkim dzięki występowi w show ""Azja Express"" i głównej roli w filmie ""Kochaj i tańcz"". Na swoim profilu instagramowym pochwaliła się zdjęciem z wakacji. Pozuje na nim w samym bikini i wygląda wspaniale. Zobaczcie sami! Iza Miko, a właściwie Izabella Anna Mikołajczak, karierę aktorską rozpoczęła już wiele lat temu. Jeszcze jako dziecko śpiewała w dziecięcym zespole Fasolki, uczyła się też w szkole baletowej. Jako 14-latka wyjechała do Stanów Zjednoczonych i tam już została. Swego czasu głośno było o jej związku z Maciejem Zakościelnym. Zakochani tworzyli jedną z najpiękniejszych par polskiego show-biznesu. Niestety, ich romans się zakończył, a Miko skupiła się na karierze.  Tutaj sprawdzisz aktualną ramówkę Telewizji WP  Tu pobierzesz za darmo aplikację Program TV:"
http://teleshow.wp.pl/kontrowersje-wokol-mistrzow-podrywu-sie-oplacily-show-okazalo-sie-hitem-6109492461287041a,"Kontrowersje wokół ""Mistrzów podrywu"" się opłaciły? Show okazało się hitem Program ""Mistrzowie podrywu"" jeszcze zanim pojawił się na antenie, wzbudzał wiele emocji. Jedni traktowali go pobłażliwie, inni byli oburzeni. W takiej atmosferze trudno było się spodziewać, że odniesie sukces. Tymczasem show nie tylko spotkało się z dużym zainteresowaniem wśród widzów, ale i zainspirowało stację do realizowania kolejnego pomysłu.  Program jeszcze przed emisją wzbudzał sporo kontrowersji. W sieci pojawiła się petycja z żądaniem jego usunięcia z anteny, którą do tej pory poparło ponad 2500 osób. Mimo to stacja nie zrezygnowała z jego nadawania. Co więcej, planuje nawet drugą odsłonę. Jednak, jak informuje portal wirtualnemedia.pl, tym razem w damskiej wersji.  Na podstawie doświadczeń z ""Mistrzów podrywu"" TVN Style rozważa realizację podobnego formatu, ale z kobietami, które mają problem ze znalezieniem odpowiedniego mężczyzny. - Być może zrealizujemy podobny program tylko o kobietach - powiedziała portalowi Małgorzata Łupina, zastępca dyrektora programowego Grupy TVN. ""Mistrzowie podrywu"" to cykl, w którym występuje kilku mężczyzn mających problemy w nawiązywaniu relacji damsko-męskich. Uczestnicy poznają w nim techniki nawiązywania relacji interpersonalnych z elementami flirtu - zarówno w teorii, jak i w praktyce. Ich trenerem jest Marcin Szabelski, który prowadzi szkołę uwodzenia dla mężczyzn i sprzedaje filmiki instruktażowe. Jak przyznała Małgorzata Łupina, zastępca dyrektora programowego Grupy TVN, show cieszy się dużą popularnością. Średnia widownia programu do 4 kwietnia według danych Nielsen Audience Measurement wyniosła 58 tys. osób. Kontrowersyjny program  w czasie emisji zapewnia TVN Style pozycję lidera oglądalności w rynku telewizyjnym wśród kanałów lifestylowych."
http://teleshow.wp.pl/mega-fabryki-tajemnice-najwiekszych-marek-tylko-w-telewizji-wp-6109111969024129a,"""Mega fabryki"": tajemnice największych marek tylko w telewizji WP Jesteście ciekawi, jak powstają produkty najsłynniejszych marek na świecie? Ten program to coś specjalnie dla was! Ogłuszający warkot ogromnych maszyn, zmechanizowany ruch tysięcy części na taśmach, obracanie, chwytanie, skręcanie, zginanie i toczenie, by w magiczny sposób przekształcić surowce i części - tak powstają najbardziej pożądane produkty dzisiejszych czasów. Największe i najbardziej fascynujące fabryki na świecie - jak wyglądają od środka? O tym bedziecie mogli się przekonać oglądając najnowszy program telewizji WP.  W kolejnych odcinkach widzowie zajrzą między innymi do fabryk:  Lamborghini,  Aventador, Harley Davidson czy IKEA. ""Mega fabryki"" będziecie mogli oglądac od poniedziałku do piątku o 20.00. Premiera już 10 kwietnia! Telewizję WP można oglądać w sieciach telewizji naziemnej i kablowych. UPC: kanał 158 lub 116. VECTRA: kanał 194. TOYA: kanał 17. INEA: kanał 28. NETIA: kanał 29. Platforma nc+: kanał 170.  Tutaj sprawdzisz aktualną ramówkę Telewizji WP  Tu pobierzesz za darmo aplikację Program TV:"
http://teleshow.wp.pl/infoteka-nowy-program-w-telewizji-wp-to-tu-znajdziecie-najlepsze-informacje-6109109653599873a,"""Infoteka"": nowy program w telewizji WP. To tu znajdziecie najlepsze informacje Maciej Orłoś zaprasza na nowy format w wiosennej ramówce telewizji WP. ""Infoteka"" to coś dla wszystkich, którzy poszukują dobrych informacji podanych w przystępnej formie.  ""Infoteka"" to lekki, informacyjno-rozrywkowy program, bogaty zarówno w treści publicystyczne, jak i lifestylowe. Mówiąc ściślej, to magazyn dla ludzi ciekawych życia, drugiego człowieka i nowych technologii. Znajdziecie w nim niecodzienne historie i nietypowe sytuacje. Format cztery razy w tygodniu będzie prowadził Maciej Orłoś, związany z Telewizją WP od listopada 2016 roku. Widzowie jak dotąd mogą go kojarzyć jako prowadzącego popołudniowe wydanie programu informacyjnego #dziejesię 16.50 oraz jako współprowadzącego #dzieńdobryWP.  Raz w tygodniu natomiast prowadzącą ""Infotekę"" będzie Monika Kapinos, która związana jest z Wirtualną Polską od trzech lat. Początkowo prowadziła cykl programów ""dzieje się w kulturze"". Od grudnia 2016 w telewizji WP w redakcji #dziejesię odpowiada za przygotowanie informacji dotyczących showbiznesu i lifestylu.  Premiera programu już w poniedziałek, 10 kwietnia. ""Infotekę"" bedziecie mogli oglądać od poniedziałku do piątku o 18.30. Telewizję WP można oglądać w sieciach telewizji naziemnej i kablowych. UPC: kanał 158 lub 116. VECTRA: kanał 194. TOYA: kanał 17. INEA: kanał 28. NETIA: kanał 29. Platforma nc+: kanał 170.  Tutaj sprawdzisz aktualną ramówkę Telewizji WP  Tu pobierzesz za darmo aplikację Program TV:"
http://teleshow.wp.pl/kot-wtargnal-niespodziewanie-na-wizje-pierwsza-reakcja-burmistrza-rygi-bezcenna-6109407517091457a,"Kot wtargnął niespodziewanie na wizję. Pierwsza reakcja burmistrza Rygi? Bezcenna! W telewizji często coś wymyka się spod kontroli. Szczególnie, jeśli chodzi o transmisje na żywo. Przekonał się o tym burmistrz Rygi, który musiał poradzić sobie z wtargnięciem na wizję niespodziewanego gościa. Chyba nikt nie spodziewał się tego, co wydarzyło się podczas ostatniej sesji online burmistrza Rygi, Niła Uszakowa. W pewnej chwili na stół, przy którym siedział polityk, wskoczył... kot. Zwierzak, jak gdyby nigdy nic, podszedł do stojącego obok laptopa kubka i ze stoickim spokojem wypił jego zawartość. Uszakow z kamienną twarzą spojrzał na niespodziewanego gościa. Dopiero po chwili rzucił spojrzenie w kamerę, uśmiechnął i spróbował pogłaskać puszystego towarzysza.  W tym momencie przestraszony reakcją zwierzak odskoczył i zniknął z kadru. Co ciekawe, burmistrz jak gdyby nigdy nic, znów przyjął poważny wyraz twarzy i kontynuował swoje przemówienie. Dopiero kiedy transmisja dobiegła końca, powiedział: ""Wszystko może się zdarzyć, gdy w gabinecie szefa grasuje kota"". Warto dodać, że polityk znany jest z zamiłowania do zwierząt - sam jakiś czas temu adoptował dwa kocięta. Wideo z ""kocią wpadką"" już podbija internet. W kilkanaście godzin od publikacji na YouTube nabił prawie 10 tys. wyświetleń. Zobaczcie sami:  Tutaj sprawdzisz aktualną ramówkę Telewizji WP  Tu pobierzesz za darmo aplikację Program TV:"
http://teleshow.wp.pl/kuchenne-rewolucje-lzy-krzyk-i-brud-gessler-chciala-zamknac-knajpe-6109166194391169a,"""Kuchenne rewolucje"": Łzy, krzyk i brud. Gessler chciała zamknąć knajpę W Zajeździe u Stefana w Odolanowie właściciel poza obieraniem ziemniaków nie robił właściwie nic. Rozgoryczona żona z trudem znosiła jego zachowanie, więc wezwała na pomoc Magdę Gessler. Jak przebiegła rewolucja? W kolejnym odcinku ""Kuchennych rewolucji"" Magda Gessler odwiedziła Zajazd u Stefana w Odolanowie. Lokal od siedmiu lat prowadzi małżeństwo: 36-letnia Ania i 39-letni Stefan, którzy marzyli o ""restauracji z prawdziwego zdarzenia"". Niestety, ich plany szybko zostały zweryfikowane przez życie. Powodem okazały się problemy osobiste. Po otwarciu zajazdu Stefan zmuszony został do pracy na budowie, a Ania która była w ciąży, została w domu. I tak bez nadzoru właścicieli, ich wymarzony biznes szybko popadał w ruinę. Wizja dobrze prosperującej restauracji stawała się coraz bardziej nierealna. Lokal stał się miejscową pijalnią piwa, którą nawet mieszkańcy omijali szerokim łukiem.  Gessler po wejściu do restauracji szybko odkryła, że gotowaniem, sprzątaniem, zaopatrzeniem i podawaniem posiłków zajmuje się Ania. Przemęczona właścicielka zwierzyła się przed kamerami, że mąż, który od jakiegoś czasu przebywa w Polsce, nie pomaga jej w prowadzeniu biznesu, a jedynie ""obiera ziemniaki"". Stefan kompletnie nie zdawał sobie sprawy z tego, w jakim stanie jest jego upadająca restauracja. Lokal, który wymagał przede wszystkim generalnego remontu, utrzymywał się tylko dlatego, że serwował ""obiady dnia"" za 15 złotych.  - Utargi dzienne to była żenada. Ledwo wystarczało na prąd. Jestem sama na zajeździe od rana do wieczora. Łącznie z dziećmi prawie tu mieszkamy. Dużo osób nadal uważa, że to speluna, bar. A mój mąż reaguje na problemy ze stoickim spokojem i mówi: ""Będzie dobrze"" - powiedziała załamana Ania. Zmęczenie właścicielki nie umknęło także uwadze jej córki Emilki. Ona również uważa, że to ojciec jest odpowiedzialny za niepowodzenie biznesu. - Mama cały czas narzeka, że tata jej nic nie pomaga. Tylko obierze te pyrki, napali w piecu i tyle. Mamie przydałby się odpoczynek i spokój - stwierdziła 14-latka. Szybko okazało się, że nie tylko podejście właściciela, ale również poziom serwowanych dań pozostawia wiele do życzenia. Gdy Gessler spróbowała ""przysmaków"" podawanych w zajeździe, oniemiała. - Tu jest obraz nędzy i rozpaczy. To nie jest kapuśniak, to jest woda. W gulaszowej ocet daje czadu, masakra! Kapusta sina jakaś, po prostu ohydna. Kapusta minus osiem, ale kluski są smaczne. Budyń z kapusty, to jest przerażające! Podłoga brudna, zużyta, strasznie tu jest - grzmiała, wypluwając jedzenie do serwetki. Właścicielka próbowała bronić się swoją trudną sytuacją w życiu prywatnym. - Nie jest lekko, trójka dzieci, Stefan na głowie. Nie wiem, skąd pani Magda takie rzeczy wie, może przeczytała gdzieś, ale powiedziała prawdę - wyjaśniała Ania. Tego dla Gessler było już za wiele. Widząc, jak załamana jest właścicielka, postanowiła działać. Na pierwszy ogień poszedł leniwy Stefan.  - Żona tu gotuje, zarządza, ja na chwilę obecną wykonuję prace gospodarcze, zajmuję się zapleczem. Jakiś czas temu miałem wypadek, kręgosłup złamałem. Ale jedzenie mogę podawać. Kierownik może być jeden, nie może być dwóch szefów w knajpie, musi być jedna wizja - opowiadał beztrosko Stefan. Podejście właściciela rozwścieczyło nie tylko Magdę Gessler, ale i jego żonę. - Masz słomiany zapał. Gdybym go nie kochała, to bym już dawno to rzuciła, pier..lnęła tym wszystkim, rzuciła w pieruny i nie wróciła tu nigdy! Stefan nigdy problemu nie widzi. Jestem codziennie 7 dni w pracy! - krzyczała Ania.  - Nie udało mi się niczego dobrego zrobić i przerzuciłem to na żonę - odpierał zarzuty żony właściciel. Gessler po inspekcji kuchni stwierdziła, że lokal nadaje się jedynie do zamknięcia. Wytknęła właścicielom, że nie dbają ani o wystrój wnętrza, ani o czystość garnków i naczyń.  - Bida z nędzą. To jest kuchnia, którą bym zamknęła. Brak tu ręki mężczyzny. Stefan nie robi tu nic. Nie zrobisz tu restauracji sama - uznała gwiazda TVN. Dopiero gorąca dyskusja z właścicielami przyniosła jakikolwiek skutek. Pojawiła się szansa, że małżonkowie zrozumieli swoje błędy i od tej pory wyjdą na prostą. Oprócz zmiany nazwy lokalu (od teraz jest to restauracja Karpielówka), wystroju oraz karty menu, metamorfozę musiał przejść również sam Stefan. Gessler zażądała, aby mężczyzna wykazywał większe zainteresowanie sprawami biznesu i angażował się w jego prowadzenie.  - Jedyną rzeczą, której się bardzo obawiam, to noszenie talerzy z zupą. Nie mam do tego zdolności od dziecka, ale zajmę się salą, będę robił zaopatrzenie. To miejsce ma nam przysparzać zadowolenie z życia - obiecywał przed kamerami Stefan. Finałowa kolacja okazała się sukcesem. A co wydarzyło się później? Trzy tygodnie po rewolucji Gessler wróciła do odmienionego lokalu, w którym, ku jej zaskoczeniu, obsługiwał odmieniony Stefan. Właściciel z pasją opowiadał o każdej serwowanej potrawie, chwaląc się, że nawet zaczął pomagać w kuchni, nie tylko na sali. - Fajne to menu, tanie i krótkie. Macie tu ogromne porcje. Bardzo udane i smaczne przystawki. Pycha! Pięknie to pachnie, jest naprawdę przepysznie. Moje gratulacje. Wasza jakość po dzisiejszej kolacji jest bez zarzutu. Mogę was spokojnie mianować ambasadą karpiowego smaku - Gessler nie mogła się nachwalić. Jak się okazało, zmiany nie tylko sprawiły, że w restauracji zaczęło tętnić życie, a w kasie nareszcie pojawiła się gotówka. Rewolucja zbliżyła do siebie małżonków i ociepliła ich relacje. - Jest między nami inaczej, Stefan o wiele więcej robi. Ta rewolucja opłacała się, bo to nie tylko rewolucja restauracji, ale i w całym życiu. Przyjemniej się przyjeżdża do pracy - podsumowała odcinek Ania.  Tutaj sprawdzisz aktualną ramówkę Telewizji WP  Tu pobierzesz za darmo aplikację Program TV:"
http://teleshow.wp.pl/agnieszka-kaczorowska-jako-tresowana-czarna-pantera-wyszlo-seksownie-6109152450697345a,"Agnieszka Kaczorowska jako tresowana czarna pantera. Wyszło seksownie? Tancerka wcieli się w atrakcyjną kocicę, która swoimi ponętnymi ruchami będzie kusić tresera - Michała Malinowskiego. W najbliższym odcinku ""Dancing with the Stars. Taniec z gwiazdami"" (emisja 7 kwietnia, godz. 20:00) wszyscy uczestnicy wcielą się w artystów cyrkowych. Agnieszka Kaczorowska i Michał Malinowski zatańczą tango. On będzie pogromcą dzikich zwierząt, ona - czarną panterą. Zobaczcie fragment ich występu ze studia. Wyszło seksownie?  Tutaj sprawdzisz aktualną ramówkę Telewizji WP  Tu pobierzesz za darmo aplikację Program TV:"
http://teleshow.wp.pl/gry-malzenskie-nowe-kontrowersyjne-show-juz-wzbudza-emocje-polsat-posunal-sie-za-daleko-6109108277003905a,"""Gry małżeńskie"": nowe kontrowersyjne show już wzbudza emocje. Polsat posunął się za daleko? Oto nowe show, w którym żony zachęcają swoich mężów do flirtu z inną kobietą. Jak daleko pozwolą im się posunąć? Czy nie będą zazdrosne, gdy mężczyzna ich życia będzie podrywał obcą dziewczynę? Do czego zdolne są singielki, które chcą zdobyć partnera i wygrać program? ""Gry małżeńskie"" to show, w którym singielka spotyka się po kolei z trzema mężczyznami na randce, w domu każdego z nich. Dwóch panów jest żonatych, a jeden kawalerem. Zadaniem bohaterki programu jest wskazanie tego, który jest singlem. Sprawa nie będzie prosta, bo w przygotowaniach do wizyty singielki mężom pomagają... żony i usuwają wszelkie ślady swojej obecności w mieszkaniu.  Kobiety nie chcą stracić kontroli nad sytuacją - w trakcie randki obserwują wszystko, siedząc w pokoju obok i udzielają wskazówek, a czasami nawet zachęcają swoich mężów do śmielszych poczynań wobec kobiety. Bohaterka będzie musiała wykorzystać swoją kobiecą intuicję i detektywistyczne zdolności w trakcie spotkania z każdym z panów. Jeśli uda jej się wytropić singla, to oboje pojadą na zagraniczną wycieczkę. Gdy jednak wskaże żonatego mężczyznę, to w podróż uda się małżeństwo, któremu udało się ją zwieść.  W pierwszym odcinku singielką będzie Karolina. Dziewczyna spotka się z Kamilem, Domisławem i Vjekoslavem. Czy uda jej się wytropić kawalera? To się okaże już 6 kwietnia o godz. 21:00 w Polsat Cafe. Będziecie oglądać? Zobaczcie poniższy zwiastun:  Tutaj sprawdzisz aktualną ramówkę Telewizji WP  Tu pobierzesz za darmo aplikację Program TV:"
http://teleshow.wp.pl/kto-to-zauwazyl-w-zwiastunie-tanca-z-gwiazdami-pojawil-sie-slynny-cytat-walesy-6109106358044801a,"Kto to zauważył? W zwiastunie ""Tańca z gwiazdami"" pojawił się słynny cytat Wałęsy Zwiastun 6. odcinka tanecznego show Polsatu może zaskoczyć niektórych widzów. W klipie promującym ""Taniec z gwiazdami"" wykorzystano wypowiedź Lecha Wałęsy. Czy było to celowe działanie? Mowa o ""plusach dodatnich i plusach ujemnych"", które na dobre zadomowiły się w języku polskim. Tzw. ""wałęsizm"" zapada w pamięć, jednak jest to wyrażenie wewnętrznie sprzeczne i niepoprawne językowo. Zobaczcie wideo: Polsat świadomie wykorzystał wypowiedź Lecha Wałęsy, czy może zaliczył wpadkę?  Tutaj sprawdzisz aktualną ramówkę Telewizji WP  Tu pobierzesz za darmo aplikację Program TV:"
http://teleshow.wp.pl/final-idola-za-pasem-kto-sie-dostal-do-scislej-osemki-6109097056221313a,"Finał ""Idola"" za pasem. Kto się dostał do ścisłej ósemki? Za nami kolejny etap „Idola”. Przypomnijmy, że castingi wyłoniły aż 115 uczestników. Po pierwszym dniu etapu teatralnego zostało ich już tylko 30. Tydzień później, w drugiej odsłonie teatralnej, w walce pozostało już tylko 12 wykonawców.  Tym razem występowali na scenie warszawskiego klubu Stodoła. Musieli zaśpiewać nie tylko przed jurorami, ale również przed swoimi bliskimi i przyjaciółmi. Tradycyjnie decydujący głos należał do ekspertów.  Ela Zapendowska, Ewa Farna, Janusz Panasiewicz i Wojtek Łuszczykiewicz nie oceniali każdego z osobna, a jedynie po wszystkich występach udali się na obrady. Ostatecznie wybrali finałową ósemkę.  W kolejnym  etapie zobaczymy więc: Adama Kalinowskiego, Karolinę Artymowicz, Adriana Szupke, Jakuba Krystyana, Angelikę Zaworkę ""Żelkę”, Patrycję Jewsienia, Macieja Mazura, Mariusza Dybę. Niestety tyle samo szczęścia nie mieli: Julita Łasecka, Szymon Borkowski, Jowita Łasecka, Agata Karczewska. Jesteście ciekawi nowych odcinków? Będziecie oglądać?   Tutaj sprawdzisz aktualną ramówkę Telewizji WP  Tu pobierzesz za darmo aplikację Program TV:  Zobacz także: Janusz Panasewicz o udziale w ""Idolu"""
