links,bodies
http://wiadomosci.wp.pl/reprywatyzacja-w-warszawie-6031239389065857c,"Reprywatyzacja w Warszawie nie ma uporządkowanego przebiegu, ponieważ od 1989 roku żaden z rządów nie przyjął ustawy reprywatyzacyjnej. W 2001 roku ustawy reprywatyzacyjnej nie podpisał prezydent Aleksander Kwaśniewski. Ustawa zakładała zwrot nieruchomości lub wypłatę odszkodowania wartości połowy nieruchomości. W Warszawie trwa tzw. „dzika” reprywatyzacja. Właściciele kamienic mogą domagać się na drodze sądowej zwrotu przedwojennych nieruchomości. Wykorzystują to osoby chcące przejąć warszawskie kamienice przez kupowanie roszczeń do kamienic, za które potrafią zapłacić 50 zł. A na podstawie takiego roszczenia domagać się reprywatyzacji kamienicy wartej kilka milionów zł. A gdy już ją przejmą na podstawie takich roszczeń kamienicę, to sprzedają ją na wolnym rynku. Najnowsza odsłona afery reprywatyzacyjnej wybuchła w sierpniu 2016 roku. Stołeczna Gazeta Wyborcza opisuje sprawa działki obok Pałacu Kultury w Warszawie, która przed wojną nosiła adres Chmielna 70. Miasto zwróciło ją w 2012 r. w prywatne ręce, mimo że wcześniej byłemu współwłaścicielowi nieruchomości, obywatelowi Danii, przyznano za nią odszkodowanie na podstawie umowy międzynarodowej. Na jaw wychodzi też sprawa wicedyrektora Biura Gospodarki Nieruchomościami Jakuba Rudnickiego, który jest beneficjentem procesu reprywatyzacji. W grudniu 2013 roku został właścicielem kamienicy przy ul. Kazimierzowskiej w Warszawie po tym jak jego rodzice odzyskali ją na podstawie roszczeń do kamienicy. A sam Rudnicki był wtedy urzędnikiem BGN, choć formalnie wyłączył się ze sprawy. Zbigniew Ziobro zapowiedział w październiku powstanie specjalnej komisji, która zbada reprywatyzacje w Warszawie pod kątem ich zgodności z prawem. Komisja weryfikacyjna będzie miała uprawnienia komisji śledczej i dodatkowo możliwość odbierania niesłusznie pozyskanych nieruchomości, jeśli stwierdzi, że doszło do nieprawidłowości przy ich przekazaniu. A prokuratura bada 100 spraw dotyczących „dzikiej” reprywatyzacji i zwraca szczególną uwagę na niektóre decyzje sądów, takie jak ustanowienie kuratorów dla właścicieli przedwojennych nieruchomości, którzy od dawna nie mogli żyć. W odpowiedzi na aferę związaną z reprywatyzacją Hanna Gronkiewicz-Waltz odwołała swoich zastępców i zwolniła dyrektora Biura Gospodarki Nieruchomościami. Według niej dyrektor Marcin Bajko jest jednym z głównych autorów nieprawidłowości w procesie reprywatyzacyjnym w Warszawie i wprowadzał ją w błąd. On sam odrzucił wszystkie oskarżenia i zapowiedział pozew przeciwko prezydent, bo czuje się pomówiony. Na „dzikiej” reprywatyzacji zarabiał mec. Robert Nowaczyk, który wyspecjalizował się w odzyskiwaniu kamienic i działek od warszawskiego ratusza. Do chwili wybuchu afery reprywatyzacyjnej odzyskał dla siebie bądź dla swoich klientów 50 kamienic.  Na reprywatyzacji zarabiała też siostra Roberta Nowaczyka, Marzena K., która otrzymała od warszawskiego ratusza 38 milionów złotych odszkodowania za odebrane dekretem Bieruta nieruchomości. Marzena K. odkupiła roszczenia od dawnych właścicieli a w sprawie o odzyskanie nieruchomości reprezentował ją przed władzami Warszawy jej brat, mec. Robert Nowaczyk. A prokuratura postawiła jej zarzuty naruszenia zakazu prowadzenia działalności gospodarczej przez osobę pełniącą funkcje publiczne, ponieważ Marzena K. była urzędniczką w ministerstwie sprawiedliwości."
http://wiadomosci.wp.pl/reforma-edukacji-6028870985970305c,"Reforma edukacji to przede wszystkim zmiana obowiązku szkolnego i likwidacja gimnazjów firmowana przez minister edukacji narodowej Annę Zalewską (PiS). Od 1 września 2016 roku cofnięto obowiązek szkolny dla sześciolatków, co było obietnicą wyborczą Prawa i Sprawiedliwości.  Według planów Ministerstwa Edukacji od 1 września 2017 roku zostaną zlikwidowane gimnazja i przywrócona ośmioletnia szkoła podstawowa, czteroletnie liceum i pięcioletnie technikum. W miejsce szkół zawodowych powstaną szkoły branżowe, które MEN chce podzielić na trzyletnią szkołę pierwszego stopnia i dwuletnią szkołę branżową drugiego stopnia. Reforma edukacji nie ogranicza się do likwidacji gimnazjów. MEN pracuje nad nową podstawa programową, która ma obowiązywać od 1 września 2017 roku. Eksperci są sceptyczni wobec planów ministerstwa i obawiają się chaosu w szkołach, ponieważ może nie starczyć czasu na wprowadzenie wszystkich zmian. Związek Nauczycielstwa Polskiego protestuje przeciwko zmianom w edukacji. Według ZNP w wyniku reformy pracę straci 37 tys. nauczycieli a konsultacje społecznie nie były odpowiednio przeprowadzone. ZNP uważa, że reforma edukacji jest przygotowywana w pośpiechu i ma rewolucyjny charakter i może obniżyć poziom polskiej edukacji. 
Anna Zalewska zarzuciła, że protesty ZNP są motywowane politycznie i zaplanowane razem z KOD, a o edukacji nie rozmawia się na ulicach podczas pikiet.  Według ekspertów zmiany w edukacji są potrzebne, ale nie zawsze idą w dobrym kierunku. Część z nich polemizuje z argumentami MEN o wyrównywaniu szans edukacyjnych uczniów i podniesieniu poziomu edukacji. A zmiany są potrzebne, ale likwidacja gimnazjów niczego nie zmieni. Pojawiają się też argumenty, że likwidacja gimnazjów może pozytywnie wpłynąć na rozwój dzieci. W wieku 10-12 lat jest silna potrzeba przyjaźni, a zmiana szkoły wymusza dostosowanie się do nowej grupy rówieśników.  PO złożyła wniosek o wotum nieufności dla Anny Zalewskiej, ale 4 listopada na posiedzeniu Sejmu wniosek został odrzucony głosami posłów PiS i części Kukiz’15. W styczniu 2017 roku posłowie PO zapowiedzieli, że złożą wniosek o zbadanie przygotowań do reformy edukacji przez NIK"
http://wiadomosci.wp.pl/kleski-zywiolowe-nekaja-swiat-6031518437401217c,NA
http://wiadomosci.wp.pl/wojna-z-panstwem-islamskim-6028864377885313c,"Państwo Islamskie to organizacja terrorystyczna, której przywódca – Abu Bakr al-Baghdadi - w 2014 roku ogłosił powstanie kalifatu na terenach zajętych przez bojowników ISIS w Syrii i Iraku. Powstała z połączenia kilku mniejszych ugrupowań terrorystycznych, które uniezależniły się od Al-Kaidy po rozpoczęciu amerykańskiej interwencji w Iraku w 2003 roku i wybuchu syryjskiej wojny domowej w 2011 roku. ISIS zasłynęło z rzezi Jazydów i chrześcijan oraz wprowadzania surowych praw szariatu na zajmowanych terenach. Członkowie organizacji prześladują również wyznawców islamu, którzy nie podzielają ich wizji religii. ISIS odpowiedzialne jest za przeprowadzenie krwawych zamachów terrorystycznych m.in. w Paryżu i Brukseli oraz państwach Bliskiego Wschodu. Wiele z zamachów, do których przyznaje się Państwo Islamskie przeprowadzają tzw. samotne wilki, czyli osoby nie mające kontaktów z terrorystami, ale podzielające ich poglądy i ogłaszając się bojownikami samozwańczego kalifatu. Państwo Islamskie swoją działalność terrorystyczną finansuje głównie ze sprzedaży ropy naftowej, fosforanów, zrabowanych zabytków i podatków nakładanych na ludność na zajętych przez siebie obszarach Syrii i Iraku. Ale z zarobionych w ten sposób pieniędzy ISIS tworzy system opieki społecznej dla ludności żyjącej pod ich rządami. Po utracie kontroli nad Mosulem przez rządu Iraku w 2014 roku USA ogłosiły stworzenie koalicji państw walczących z samozwańczym kalifatem. Samoloty koalicji wspierają z powietrza armię iracką, kurdyjskich bojowników oraz umiarkowaną opozycję syryjską. Od 2015 roku w Iraku i Syrii tzw. Państwo Islamskie traci zajmowane przez siebie terytoria. Irackie wojsko przy wsparciu USA odzyskało kontrolę nad Faludżą i w połowie października 2016 rozpoczęło ofensywę na Mosul. Wcześniej Kurdowie przejęli Sindżar, czyli strategiczny region łączący Mosul w Iraku z al-Rakką w Syrii, czyli dwoma bastionami ISIS. W ofensywie na Mosul bierze udział iracka armia, kurdyjscy bojownicy i szyickie milicje, ale premier Iraku zapowiedział, że to miasta wejdą tylko iraccy żołnierze, aby nie dopuścić do konfliktów na tle etnicznym i religijnym, ponieważ Mosul jest miastem w większości zamieszkanym przez arabskich sunnitów. W ogarniętej wojną domową Syrii tzw. Państwo Islamskie stopniowo wypierane jest przez syryjskich partyzantów i Kurdów wspieranych z powietrza przez koalicję dowodzoną przez USA oraz armię prezydenta al-Asada mającą wsparcie rosyjskiego lotnictwa. Na początku listopada koalicja formacji kurdyjskich i syryjskich sił demokratycznych rozpoczęła ofensywę na Al-Rakkę pod kryptonimem „Gniew Eufratu”."
http://wiadomosci.wp.pl/brexit-6028860231082625c,"23 czerwca 2016 roku Brytyjczycy w referendum zdecydowali o opuszczeniu Unii Europejskiej. Było to wielkie zaskoczenie, ponieważ większość sondaży dawała zwolennikom pozostania Wielkiej Brytanii w UE zwycięstwo. Tuż przed rozpoczęciem głosowania sondaże mówiły, że opuszczenie Unii poprze 48 proc. głosujących. W referendum w Wielkiej Brytanii zwyciężyli zwolennicy opuszczenia Unii Europejskiej. Brexit poparło 17,4 mln Brytyjczyków, czyli 51,9 proc. wszystkich głosujących. Po ogłoszeniu wyników referendum premier, David Cameron, podał się do dymisji. Referendum ws. opuszczenia Unii Europejskiej rozpisał Cameron, choć sam był zwolennikiem pozostania kraju w strukturach europejskich. W komentarzach po referendum europejscy przywódcy komentowali, że wynik referendum jest ogromnym zaskoczeniem, a Unia powinna przeanalizować przyczyny decyzji Brytyjczyków i wyciągnąć odpowiednie wnioski. Brexit ożywił na nowo dyskusje o niepodległości Szkocji. Szefowa szkockiego rządu Nicola Sturgeon poinformowała, że władze przygotowują się do zaprezentowania prawa, które umożliwi przeprowadzenie drugiego referendum ws. niepodległości Szkocji. Dodała też, że nadal trwa dyskusja ws. przyszłości Szkocji w UE. Z danych brytyjskiej komisji wyborczej wynika, w Szkocji odsetek zwolenników pozostania w UE był największy w całej Wielkiej Brytanii. Negocjacje Wielkiej Brytanii z Unią Europejską ws. Brexitu mogą potrwać dwa lata, ale rozpoczną się po tym jak, Wielka Brytania złoży oficjalny wniosek o wystąpienie z Unii Europejskiej. Przed tym, brytyjski parlament musi przegłosować wyjście z UE, ale na razie tego nie zrobił. 
Brexit spowodował zmianę na stanowisku premiera w Wielkiej Brytanii. Została nim Theresa May, która ma wyprowadzić kraj z Unii."
http://wiadomosci.wp.pl/burza-wokol-trybunalu-konstytucyjnego-6028862871597697c,"Spór o Trybunał Konstytucyjny rozpoczyna się na pod koniec 2015 roku, kiedy Sejm uchwałą unieważnia wybór sędziów dokonany w poprzedniej kadencji Sejmu. PiS mógł unieważnić wybór sędziów TK, ponieważ prezydent Andrzej Duda nie zaprzysiągł wybranych sędziów tłumacząc to wątpliwościami co do legalności ich wyboru. PiS przegłosował wybór nowych sędziów Trybunału Konstytucyjnego, a prezydent zaprzysiągł nowych sędziów w nocy. Po tych wydarzeniach powstał Komitet Obrony Demokracji, który organizuje demonstracje w obronie przestrzegania konstytucji.  Trybunał Konstytucyjny orzeka, że sędziowie wybrani w poprzedniej kadencji Sejmu byli wybrani częściowo niekonstytucyjnie. Trzech z nich powinno zostać zaprzysiężonych, ale wybór dwóch sędziów TK uznał za sprzeczny z konstytucją. Kadencje trzech sędziów kończyły się w 2015 roku, a dwóch pozostałych dopiero w 2016 roku i koalicja PO-PSL nie mogła wybrać tych sędziów. W związku z tym Andrzej Rzepliński nie dopuszcza do orzekania trzech sędziów wybranych przez PiS. W marcu Trybunał Konstytucyjny w dwunastoosobowym składzie uznaje, że ustawa PiS jest niekonstytucyjna, ale rząd nie uznaje tego wyroku i traktuje go jako niewiążącą opinię. Według rządu TK powinien orzekać na podstawie nowej ustawy autorstwa PiS w co najmniej trzynastoosobowym składzie. W wyniku konfliktu wokół TK, minister spraw zagranicznych, Witold Waszczykowski, wystąpił do Komisji Weneckiej, która miała wydać opinię o Trybunale Konstytucyjnym w Polsce. Ta jest niekorzystna dla rządu. Również Parlament Europejski zajmuje się kwestią przestrzegania konstytucji w Polsce i wyraża zaniepokojenie sytuacją w kraju. W następnych miesiącach PiS przygotowuje następne ustawy o TK, ale te również Trybunał uznaje za niekonstytucyjne. W sierpniu rząd publikuje część wyroków Trybunału Konstytucyjnego, mimo że ten nie orzeka na podstawie ustawy autorstwa PiS. W listopadzie troje, wybranych przez PiS a nie dopuszczonych do orzekania, sędziów odmówiło uczestniczenia w rozprawach i paraliżując orzekane w sprawach wymagających większej liczby sędziów. 8 listopada dwójka sędziów - Julia Przyłębska oraz Zbigniew Jędrzejewski ""zdecydowali się powstrzymać"" od udziału w pracach, zaś Piotr Pszczółkowski przedstawił zwolnienie lekarskie. Trybunał Konstytucyjny nie mógł zająć się sprawą nowego regulaminu TK, ponieważ warunkiem ważność uchwały w tej sprawie była obecność minimum 10 sędziów. W grudniu 2016 roku Julia Przyłębska została najpierw p.o. prezesa Trybunału, a następnie jego prezesem. Podczas jej nominacji prezydent Andrzej Duda stwierdził, że ta sytuacja powinna zażegnać spór wokół TK."
http://wiadomosci.wp.pl/uchodzcy-i-imigranci-6028863260541569c,"Kryzys imigracyjny w Europie ma swoje przyczyny w Arabskiej Wiośnie i wojnach na Bliskim Wschodzie. Uchodźcy i imigranci z Afryki i Bliskiego Wschodu przedostają się do Europy przede wszystkim z Libii przez Morze Śródziemne oraz z Turcji przez wyspy greckie.  Największy kryzys imigracyjny miał miejsce na Węgrzech w 2015 roku, ponieważ uchodźcy i imigranci przedostawali się z Turcji przez Grecję, Macedonię i Serbię podróżując głównie do Niemiec po tym jak Niemcy ogłosiły, że przyjmą większość osób starających się o azyl w Niemczech. Jednak węgierskie władze zbudowały ogrodzenie na granicy z Serbią i odsyłały do Serbii osoby nie mających stosownych dokumentów. Również zamknięto dworzec Keleti w Budapeszcie skąd uchodźcy i imigranci odjeżdżali do Austrii i Niemiec, co spotkało się z protestami. Jeszcze przed 2015 rokiem papież Franciszek odwiedził włoską wyspę Lampedusa. Zaapelował wtedy o pomoc tym, który każdego dnia próbują przedostać się do Włoch przez Morze Śródziemne i toną w morzu. Od stycznia do września 2016 roku w Morzu Śródziemnym utonęło 3,5 tys. osób próbujących dostać się do Europy. Próbą rozwiązanie kryzysu imigracyjnego w Unii Europejskiej jest system relokacji uchodźców z obozów w Grecji i Włoszech. Rząd Ewy Kopacz zobowiązał się do przyjęcia ponad 7 tys. osób, ale po zamachach terrorystycznych w Brukseli rząd Beaty Szydło ogłosił, że Polska nie wywiąże się ze zobowiązań przyjętych przez poprzedni rząd. Odpowiedzią na kryzys imigracyjny jest też umowa pomiędzy Turcją i Unią Europejską, która ma zatrzymać niekontrolowany napływ uchodźców i imigrantów do Grecji. Zgodnie z zawartym porozumieniem Grecja będzie odsyłać do Turcji nielegalnych imigrantów a w zamian przyjmować uchodźców z obozów w Turcji. W październiku Francja zlikwidowała obozowisko w Calais, w którym mieszkało 6-8 tys. imigrantów chcących dotrzeć do Wielkiej Brytanii. Było to największe nielegalne obozowisko, a jego mieszkańcy próbowali ukrywać się w ciężarówkach żeby przedostać się do Wielkiej Brytanii.  Po likwidacji obozowiska w Calais w północnej części Paryża zaczęło powstawać obozowisko, w którym mieszka 2 tys. ludzi. Głównie są to Sudańczycy, Erytrejczycy, Afgańczycy i Libijczycy. Według listopadowego sondażu CBOS-u 54 proc. Polaków jest przeciwna przyjmowaniu uchodźców. A wśród zwolenników ich przyjmowania większość uważa, że powinni oni powrócić do swoich krajów, kiedy już nic im tam nie będzie zagrażać."
http://wiadomosci.wp.pl/wszystkich-swietych-1-listopada-6028870262272641c,"1 listopada przypada Święto Wszystkich Świętych - to właśnie tego dnia wybieramy się na groby naszych bliskich, wspominamy ich i modlimy się za ich dusze."
http://wiadomosci.wp.pl/interwencja-w-syrii-6031277150741633c,"Interwencja w Syrii koalicji państw pod wodzą USA rozpoczęła się w 2014 roku, a dyskutowano o niej od momentu wybuchu wojny domowej trzy lata wcześniej. Operacja nie uzyskała zgody ONZ, ponieważ decyzję i wszelkie rezolucje na forum ONZ blokowała Rosja i Chiny.  Państwa Zachodu zdecydowały się na interwencję, po tym jak Baszar Al-Asad użył broni chemicznej, mimo że skutki interwencji wojskowe dla regionu były nieprzewidywalne. Baszar Al-Asad ostrzegał, że taka interwencja będzie miała skutki globalne, a on sam nie upuści kraju.  ONZ próbuje zaprowadzić pokój na drodze dyplomatycznej, ale początkowo syryjska opozycja nie chciała rozmawiać z Baszarem Al-Asadem, a rozmowy w sprawie pokoju nie przynoszą oczekiwanych rezultatów.  Sytuację komplikuje powstanie tzw. Państwa Islamskiego, które zajęło znaczne obszary kraju pod koniec 2014 roku, co zmobilizowało do interwencji koalicję pod wodzą USA. Choć ta ogranicza się do bombardowania pozycji ISIS i wspierania różnych grup partyzanckich walczących z ISIS. Działania USA, poza państwami Zachodu, wspierają m.in. Turcja, Jordania, Arabia Saudyjska, Bahrajn i Katar. Do działań w Syrii przyłączyła się w 2015 roku Rosja, ale razem z Iranem wspiera Baszara Al-Asada.  Najgłośniejszymi wydarzeniami podczas interwencji w Syrii było spalenie jordańskiego pilota przez bojowników tzw. Państwa Islamskiego oraz zestrzelenie rosyjskiego samolotu przez Turcję, która oskarżała Rosję o notoryczne naruszanie swojej przestrzeni powietrznej."
http://wiadomosci.wp.pl/piotr-glinski-nie-moge-pozwolic-na-to-by-byle-postkomunistyczny-petak-nazywal-mnie-cenzorem-6109172219704961a,"Piotr Gliński: nie mogę pozwolić na to, by byle postkomunistyczny pętak nazywał mnie cenzorem Wiceprezes Rady Ministrów i minister kultury i dziedzictwa narodowego Piotr Gliński odniósł się do pojawiających się na jego temat informacji w mediach. - To są kłamstwa - podkreślił. Jak zadeklarował, nie pozostanie na nie obojętny i sprawa trafi do sądu. - Po tych słowach spotkamy się w sądzie - zaznaczył w rozmowie z portalem wPolityce.pl Gliński. O jakich słowach mowa? - ""Fakt” pisze o ""końcu muzeum”, ""Wyborcza”, że ""cenzor zamyka muzeum” - wyliczył minister.  - W latach 70. zaczynałem działać w opozycji, walczyłem z cenzurą, a mój doktorat nie został wydany, co dla naukowca jest strasznym ciosem. Nie mogę pozwolić na to, by byle postkomunistyczny pętak nazywał mnie cenzorem, który niszczy ważne instytucje kultury w Polsce - stwierdził Gliński.  Tłumaczył też, że zamieszanie wokół Muzeum II Wojny Światowej w Gdańsku dotyczy sporu wokół jego koncepcji. - Muzeum miało być Muzeum Westerplatte i za tym idzie inny profil. W związku z tym powołaliśmy Muzeum Westerplatte i naturalne było połączenie tych dwóch instytucji. Pamiętajmy, że tamto muzeum budowane było za 500 milionów. Połączenie było konsekwencją tego, że faktycznie Muzeum Westerplatte jest potrzebne - zwrócił uwagę wicepremier.  Odniósł się także do wypowiedzi korespondentki niemieckiej telewizji ARD, która powiedziała: - Minister kultury jest zadowolony. Krytycy jednak ostrzegają, że teraz rząd może realizować swoją wizję patriotycznej kultury pamięci. Zdaniem Glińskiego takie opinie wynikają z ""konkurencji"". - Europa, która z jednej strony jest ideą integrującą, wciąż jest miejscem bardzo silnej rywalizacji międzynarodowej. Być może jest to wyraz interesów niemieckiej wspólnoty politycznej - powiedział Gliński.  - Z naszej strony wydaje się proste i oczywiste, że staliśmy się krajem w dużej mierze w okowach polityki niemieckiej. I obowiązkiem polskiego rządu jest walka o naszą narrację - dodał. Przyznał również, że w konflikcie wokół Muzeum II Wojny Światowej jest więcej polityki niż historii. Źródło: wPolityce.pl"
